id,amenities,bathrooms,bedrooms,has_photo,pets_allowed,price_type,square_feet,address,cityname,state,latitude,longitude,price
7386,"Parking,Pool",,1.0,Yes,,Monthly,1197.0,,Dallas,,32.9158,-96.8961,2090.0
7387,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Playground,Pool,Refrigerator,Washer Dryer",2.0,2.0,,"Cats,Dogs",Monthly,,,Glen Allen,VA,37.7172,-77.5767,1444.0
7388,"Cable or Satellite,Clubhouse,Dishwasher,Elevator,Garbage Disposal,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Storage",,1.0,Thumbnail,"Cats,Dogs",Monthly,785.0,414 N Forest Park Boulevard,Knoxville,TN,35.9695,-83.981,949.0
7389,"Alarm,Fireplace,Patio/Deck,Playground,Pool,TV,Tennis,Washer Dryer",2.0,2.0,,"Cats,Dogs",Monthly,1025.0,,Alpharetta,GA,34.0791,-84.2039,1410.0
7390,"Gym,Playground,Pool,Washer Dryer",1.0,2.0,No,"Cats,Dogs",Monthly,1100.0,,,GA,33.9351,-84.5289,999.0
7391,,1.0,,,,Monthly,,,Durham,NC,35.9966,-78.8991,2185.0
7392,"Parking,Storage,Wood Floors",1.0,1.0,,,Monthly,730.0,,Jersey City,NJ,40.722,-74.0644,2730.0
7393,"AC,Dishwasher,Playground,Pool,Refrigerator,Washer Dryer",1.0,2.0,,"Cats,Dogs",Monthly,628.0,,Richmond,VA,37.5802,-77.5191,969.0
7394,Parking,2.0,,Thumbnail,,Monthly,1427.0,,Birmingham,AL,33.4294,-86.7252,2200.0
7395,"Dishwasher,Parking,Pool",1.0,1.0,,,Monthly,664.0,12101 N Lamar Boulevard,Austin,TX,30.3054,-97.7497,1275.0
7396,"Fireplace,Gym,Parking,Playground,Pool",1.0,1.0,,,,809.0,,Marlborough,MA,42.3467,-71.5502,1780.0
7397,"Clubhouse,Gym,Parking,Pool",1.0,1.0,Yes,,Monthly,,,,VA,37.2658,-76.7099,1375.0
7398,"Clubhouse,Fireplace,Patio/Deck,Pool",2.0,2.0,Yes,"Cats,Dogs",Monthly,1436.0,,,,32.9661,-96.7988,1765.0
7399,"AC,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Gated,Gym,Parking,Patio/Deck,Playground,Pool,Refrigerator,Storage,Tennis,View,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,1035.0,,Las Vegas,NV,36.2302,-115.0758,885.0
7400,Playground,,1.0,Yes,,Monthly,,,,MD,39.5551,-76.9906,1125.0
7401,"Clubhouse,Pool",1.0,1.0,Yes,,Monthly,730.0,,Alexandria,,38.8171,-77.1221,1550.0
7402,"AC,Clubhouse,Gym,View",2.0,2.0,,"Cats,Dogs",Monthly,,,North Bergen,,40.7925,-74.0215,2505.0
7403,"Parking,Pool,Storage",1.0,1.0,Thumbnail,,Monthly,788.0,,Denver,CO,39.698,-105.1559,1634.0
7404,,2.0,,Yes,"Cats,Dogs",,1151.0,,Boston,MA,42.328,-71.071,4221.0
7405,"AC,Elevator,Fireplace,Gym,Pool,Storage,Washer Dryer",1.0,1.0,,"Cats,Dogs",Monthly,645.0,,Dallas,,33.0023,-96.8406,1020.0
7406,,,1.0,No,,Monthly,740.0,,,NV,36.2336,-115.2906,925.0
7407,Fireplace,2.0,3.0,Thumbnail,"Cats,Dogs",Monthly,,3901 Dallas St,Fort Smith,AR,35.358,-94.3964,925.0
7408,"Basketball,Gym,Pool,Tennis",2.0,,Thumbnail,"Cats,Dogs",Monthly,930.0,,San Marcos,CA,33.1171,-117.1672,2615.0
7409,"Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Patio/Deck,Refrigerator,Storage,Washer Dryer",2.0,3.0,Thumbnail,"Cats,Dogs",,1361.0,,Euless,TX,32.8255,-97.1039,1577.0
7410,"Cable or Satellite,Dishwasher,Garbage Disposal,Parking,Patio/Deck,Refrigerator",1.0,2.0,Thumbnail,Cats,,886.0,920 Park Ave,Beloit,WI,42.5589,-89.0873,850.0
7411,Parking,1.0,1.0,Thumbnail,,Monthly,622.0,,Mount Rainier,MD,38.942,-76.9632,1323.0
7412,"Clubhouse,Pool",1.0,1.0,,"Cats,Dogs",Monthly,691.0,,Lawrenceville,GA,33.9222,-84.0725,1029.0
7413,"AC,Playground,Storage",1.0,1.0,Thumbnail,"Cats,Dogs",,751.0,,,,39.8092,-84.2947,530.0
7414,Gym,1.0,1.0,Yes,"Cats,Dogs",Monthly,740.0,,Melrose,MA,42.4585,-71.0609,2125.0
7415,"Gym,Storage,Tennis",2.0,2.0,Yes,,Monthly,2372.0,,Los Angeles,CA,34.0584,-118.4135,6400.0
7416,"Fireplace,Parking,Pool,Storage,Tennis",2.0,,Yes,,Monthly,1134.0,,Atlanta,GA,33.6443,-84.4661,1520.0
7417,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Playground,Pool,Refrigerator,Storage,Washer Dryer",,1.0,Yes,"Cats,Dogs",Monthly,1031.0,,Micro,,35.5626,-78.2042,1075.0
7418,,1.0,1.0,Yes,,Monthly,528.0,,Redondo Beach,,33.8321,-118.3786,1795.0
7419,"Fireplace,Parking,Patio/Deck",1.0,,,,Monthly,707.0,,Alexandria,VA,38.8363,-77.128,1577.0
7420,"Parking,Patio/Deck,Pool,Washer Dryer",2.0,2.0,Thumbnail,"Cats,Dogs",,1052.0,,Suffolk,VA,36.8497,-76.4794,1410.0
7421,"Clubhouse,Dishwasher,Gym,Patio/Deck,Pool,Refrigerator,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",,1104.0,,Mount Holly,NJ,39.9918,-74.8073,2135.0
7422,"Patio/Deck,Storage",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,904.0,,Tampa,FL,28.0106,-82.5875,1179.0
7423,"Parking,Patio/Deck",1.0,,Thumbnail,,Monthly,985.0,,,MD,38.8391,-76.9175,1595.0
7424,"AC,Dishwasher,Patio/Deck,Refrigerator,Washer Dryer",,2.0,,,Monthly,900.0,1190 Kenmore Avenue,Buffalo,,42.9492,-78.8605,875.0
7425,"AC,Cable or Satellite,Clubhouse,Elevator,Gated,Gym,Internet Access,Parking,Pool,Storage,Washer Dryer",1.0,1.0,Yes,"Cats,Dogs",Monthly,704.0,,Dallas,TX,32.8302,-96.7724,1220.0
7426,,2.0,2.0,Thumbnail,"Cats,Dogs",Monthly,531.0,,Newport News,VA,36.9886,-76.4202,970.0
7427,"Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Gym,Internet Access,Parking,Playground,Pool,Refrigerator,Washer Dryer",1.0,2.0,,,Monthly,1163.0,,Sheffield Lake,,41.4803,-82.098,885.0
7428,,2.0,2.0,Yes,,Monthly,926.0,,Dallas,TX,32.7907,-96.7501,1518.0
7429,Storage,2.0,2.0,Yes,"Cats,Dogs",Monthly,1115.0,,Norfolk,VA,36.8532,-76.2902,2119.0
7430,"Elevator,Parking,Patio/Deck,Pool,Storage,Washer Dryer",1.0,2.0,Yes,"Cats,Dogs",Monthly,,,,NC,35.774,-78.6328,1095.0
7431,"Gym,Playground,Pool",1.0,1.0,Yes,"Cats,Dogs",Monthly,750.0,,,AR,35.798,-90.7141,770.0
7432,"Parking,Storage",,1.0,Yes,,Monthly,1100.0,,Long Beach,CA,33.7696,-118.1926,2150.0
7433,"Dishwasher,Elevator,Internet Access,Parking,Patio/Deck,Refrigerator,Storage",1.0,,Thumbnail,"Cats,Dogs",,,4626 Wyngate Boulevard,Forest Lake,MN,45.2764,-92.9901,1295.0
7434,"Cable or Satellite,Internet Access,Parking,Storage",2.0,,Yes,,,1265.0,,Chester,VA,37.3496,-77.3267,1325.0
7435,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Gym,Patio/Deck,Refrigerator,Storage,Washer Dryer",1.0,1.0,Yes,,,640.0,,,GA,34.0341,-84.5061,846.0
7436,"Cable or Satellite,Clubhouse,Parking",2.0,3.0,,,Monthly,1104.0,,Duncanville,TX,32.6582,-96.9139,1102.0
7437,"Clubhouse,Gym,Parking,Tennis",2.0,2.0,Thumbnail,,Monthly,,,Arlington,TX,32.7767,-97.0816,1260.0
7438,"Dishwasher,Parking,Refrigerator,Washer Dryer",2.0,2.0,,,,1116.0,,Naples,FL,25.9863,-81.5339,1295.0
7439,"Clubhouse,Gym,Tennis,Washer Dryer,Wood Floors",2.0,2.0,No,,Monthly,1210.0,,Decatur,GA,33.8144,-84.2804,1542.0
7440,"Basketball,Clubhouse,Gym,Parking,Pool",2.0,,,"Cats,Dogs",,1295.0,,Butner,NC,36.1366,-78.7604,1270.0
7441,"Clubhouse,Fireplace,Gym,Hot Tub",2.0,2.0,Thumbnail,"Cats,Dogs",Monthly,1066.0,,Las Vegas,NV,36.1411,-115.2768,1251.0
7442,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Gym,Internet Access,Parking,Pool,Refrigerator,Storage,Washer Dryer",1.0,1.0,Yes,,Monthly,652.0,,Dallas,TX,32.8772,-96.7093,840.0
7443,"AC,Clubhouse,Fireplace,Gym,Patio/Deck,Pool,Storage,Washer Dryer",2.0,,Yes,"Cats,Dogs",Monthly,1174.0,,Reno,NV,39.4779,-119.8972,1726.0
7444,"AC,Fireplace,Internet Access,Parking,Pool,Washer Dryer",1.0,1.0,Yes,,Monthly,704.0,,,,32.6924,-97.1324,819.0
7445,"Clubhouse,Gym,Patio/Deck,Pool,Washer Dryer",,2.0,Yes,,Monthly,1072.0,,Miamisburg,OH,39.6309,-84.2621,1545.0
7446,,2.0,2.0,Yes,,Monthly,,,,OH,39.05,-84.3439,1135.0
7447,"Gym,Parking,Pool,TV",2.0,2.0,Yes,,Monthly,1098.0,,Newport News,VA,37.1275,-76.5219,1456.0
7448,"Gym,Parking,Pool,Washer Dryer",2.0,2.0,Yes,,Monthly,1030.0,,Oklahoma City,,35.4751,-97.5035,1615.0
7449,,,1.0,Yes,"Cats,Dogs",,766.0,,Decatur,GA,33.7709,-84.2931,1650.0
7450,"Gym,Parking",,,Thumbnail,,,836.0,,Las Vegas,NV,36.1132,-115.2754,1299.0
7451,,1.0,1.0,,"Cats,Dogs",Monthly,600.0,,Richmond,VA,37.5423,-77.4347,950.0
7452,,2.0,2.0,No,,Monthly,1121.0,,Las Vegas,NV,36.2336,-115.2906,1095.0
7453,"AC,Clubhouse,Gated,Patio/Deck,Refrigerator,Washer Dryer",2.0,2.0,Thumbnail,"Cats,Dogs",,1049.0,,,,34.053,-118.2637,3250.0
7454,"Dishwasher,Garbage Disposal,Pool,Refrigerator",1.0,1.0,Thumbnail,,Monthly,869.0,901 Valley View Circle,Bloomington,IL,40.4346,-88.9828,1100.0
7455,"Parking,Washer Dryer",1.0,,Thumbnail,,,853.0,,Herndon,,38.9782,-77.387,1632.0
7456,"Gym,Parking,Patio/Deck,Pool,Wood Floors",1.0,1.0,,"Cats,Dogs",Monthly,871.0,,Hyattsville,MD,38.9645,-76.9637,1980.0
7457,Parking,1.0,1.0,Yes,,Monthly,751.0,,,TX,32.9314,-97.0956,1090.0
7458,,,1.0,Yes,"Cats,Dogs",Monthly,650.0,,Denver,,39.7436,-105.108,1550.0
7459,Parking,2.0,3.0,Yes,,,,,Broussard,LA,30.1405,-91.9577,1405.0
7460,"Clubhouse,Gym,Patio/Deck,Washer Dryer",1.0,,Thumbnail,"Cats,Dogs",Monthly,586.0,,Denver,,39.7673,-105.0151,1410.0
7461,,1.0,2.0,No,"Cats,Dogs",,900.0,,Nashua,NH,42.7527,-71.4854,1400.0
7462,"Internet Access,Parking,Washer Dryer",2.0,2.0,Yes,,Monthly,,,Hillsborough,,36.0746,-79.0777,1210.0
7463,"Gym,Parking",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,850.0,,Cincinnati,OH,39.2294,-84.625,800.0
7464,,1.0,,No,,Monthly,960.0,,Baton Rouge,LA,30.4469,-91.1302,785.0
7465,,1.0,1.0,Yes,"Cats,Dogs",Monthly,747.0,,Durham,NC,35.9966,-78.8991,1425.0
7466,,,,Yes,,Monthly,,,Denver,CO,39.7305,-104.9549,2115.0
7467,"AC,Fireplace,Gated,Gym,Parking,Patio/Deck,Playground,Pool,Washer Dryer",1.0,1.0,No,"Cats,Dogs",Monthly,750.0,,Lewisville,TX,33.0775,-97.0493,880.0
7468,"Gym,Pool",2.0,2.0,Yes,,Monthly,1018.0,,Silver Spring,MD,39.0829,-77.0612,1663.0
7469,"Parking,Pool,Refrigerator,Storage",1.0,,,"Cats,Dogs",Monthly,600.0,,Santa Rosa,CA,38.4608,-122.6398,1795.0
7470,Parking,1.0,,Thumbnail,,,810.0,,Mount Rainier,,38.942,-76.9632,1328.0
7471,"Gym,Pool",1.0,1.0,Yes,,Monthly,769.0,,Mansfield,TX,32.5807,-97.138,1104.0
7472,"Cable or Satellite,Internet Access,Parking,Pool,TV",2.0,3.0,Yes,,,1332.0,,Morrisville,,35.823,-78.6438,1229.0
7473,"Gym,Parking,Pool,Tennis",1.0,,Thumbnail,,Monthly,698.0,,Atlanta,,33.8689,-84.4279,1150.0
7474,"Gym,Parking,Patio/Deck",1.0,1.0,,,Monthly,720.0,,Raleigh,NC,35.7887,-78.6531,1255.0
7475,"Dishwasher,Pool,Tennis",2.0,3.0,Yes,"Cats,Dogs",,1147.0,,Arlington,TX,32.7583,-97.088,1298.0
7476,"Gym,Parking",2.0,2.0,,,,,,Irvine,CA,33.6927,-117.8193,2370.0
7477,"AC,Cable or Satellite,Internet Access,TV,Washer Dryer",1.0,1.0,,,Monthly,,,Los Angeles,CA,34.0308,-118.3974,2745.0
7478,Parking,1.0,1.0,Yes,,,387.0,,Beachwood,OH,41.4712,-81.5155,550.0
7479,,1.0,1.0,No,,,511.0,,Bloomfield,,40.8069,-74.1872,1590.0
7480,,1.0,,Thumbnail,"Cats,Dogs",,586.0,1237  1243 North Dresden Place,Anaheim,CA,33.8323,-117.9079,1510.0
7481,"Basketball,Clubhouse,Gym,Pool,Washer Dryer",,2.0,No,"Cats,Dogs",Monthly,1024.0,,,TX,32.8281,-97.145,1248.0
7482,"Patio/Deck,Pool,Storage,Washer Dryer",2.0,2.0,No,,Monthly,,,Long Beach,CA,33.7696,-118.1926,6500.0
7483,Patio/Deck,,3.0,Thumbnail,,,2370.0,,Corona Del Mar,CA,33.6019,-117.8637,7500.0
7484,"Gym,Patio/Deck,Washer Dryer",1.0,,Thumbnail,,Monthly,568.0,,Redmond,WA,47.6829,-122.1209,1693.0
7485,,1.0,1.0,Thumbnail,,Monthly,664.0,,Long Beach,CA,33.7696,-118.1926,1937.0
7486,"Pool,Storage",1.0,1.0,Thumbnail,,Monthly,800.0,,Bellevue,WA,47.6124,-122.1427,1657.0
7487,"AC,Cable or Satellite,Clubhouse,Dishwasher,Elevator,Gated,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Washer Dryer",1.0,1.0,No,"Cats,Dogs",,830.0,,Waltham,MA,42.3835,-71.2386,2613.0
7488,"Gated,Parking",2.0,2.0,,"Cats,Dogs",Monthly,938.0,,Broomfield,CO,39.9347,-105.0766,1899.0
7489,"Gated,Parking,Playground",,,,,,783.0,,Dayton,OH,39.7942,-84.2701,699.0
7490,"Gym,Patio/Deck,Pool",1.0,1.0,Yes,,Monthly,,,Los Angeles,,34.1176,-118.3327,2130.0
7491,,1.0,2.0,Thumbnail,,Monthly,1100.0,1303 Laurel St,Santa Cruz,CA,36.9873,-122.016,3200.0
7492,"Dishwasher,Refrigerator,Storage",1.0,1.0,No,"Cats,Dogs",Monthly,700.0,,Artesia,CA,33.8661,-118.0792,1645.0
7493,"AC,Basketball,Cable or Satellite,Dishwasher,Patio/Deck,Playground,Pool,Refrigerator,Storage,Washer Dryer",2.0,2.0,Yes,,Monthly,1033.0,,Cincinnati,OH,39.2431,-84.5394,999.0
7494,Patio/Deck,3.0,3.0,,,Monthly,1256.0,,Hendersonville,NC,35.3379,-82.45,1295.0
7495,Parking,1.0,1.0,Yes,,,659.0,,,VA,38.8723,-77.1157,2580.0
7496,Parking,1.0,,Yes,,Monthly,650.0,,Lima,OH,40.7228,-84.0782,695.0
7497,"Gym,Pool,Wood Floors",1.0,1.0,Yes,,Monthly,683.0,,Arlington,VA,38.8431,-77.092,2099.0
7498,"Parking,Storage",,1.0,No,,Monthly,,,,CA,34.0451,-118.2414,2970.0
7499,"Parking,Patio/Deck,Storage,Washer Dryer",,2.0,Thumbnail,,Monthly,905.0,,,TX,32.9252,-96.6203,1153.0
7500,,1.0,1.0,,,Monthly,701.0,,Denver,CO,39.6484,-105.0826,1179.0
7501,Parking,2.0,3.0,No,,Monthly,,,Sparks,,39.6462,-119.6975,1700.0
7502,"Parking,Pool,Washer Dryer",1.0,1.0,Thumbnail,"Cats,Dogs",,815.0,,,FL,28.0763,-82.7582,1373.0
7503,"Fireplace,Gym,Pool,Tennis",1.0,1.0,,,Monthly,787.0,,Columbus,OH,40.0817,-82.9753,884.0
7504,"Cable or Satellite,Parking",,1.0,Yes,,Monthly,,,Dover,NH,43.1857,-70.9136,950.0
7505,"Basketball,Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Playground,Refrigerator",1.0,,Thumbnail,"Cats,Dogs",Monthly,560.0,701 Stone Ridge Dr,Frankfort,IN,40.2669,-86.5305,662.0
7506,"AC,Cable or Satellite,Clubhouse,Dishwasher,Elevator,Gym,Internet Access,Patio/Deck,Pool,Refrigerator,Washer Dryer",1.0,1.0,Yes,"Cats,Dogs",Monthly,791.0,,Aberdeen,,39.5109,-76.1855,1275.0
7507,,,2.0,No,,Monthly,,,Bradenton,FL,27.4849,-82.5345,1297.0
7508,,,1.0,Thumbnail,"Cats,Dogs",Monthly,,,,NE,41.2395,-96.0005,599.0
7509,"Gym,Pool,Washer Dryer,Wood Floors",1.0,1.0,Yes,"Cats,Dogs",Monthly,700.0,,,NC,35.9751,-78.8392,957.0
7510,Parking,1.0,1.0,,,Monthly,700.0,,Stanton,CA,33.8005,-117.997,1600.0
7511,"AC,Dishwasher,Parking,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,1104.0,,Wexford,PA,40.617,-80.0641,1175.0
7512,Pool,,1.0,Thumbnail,,Monthly,250.0,,Little River,SC,33.8829,-78.6369,500.0
7513,"Patio/Deck,Pool",1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,764.0,,,TX,33.0157,-96.7375,1165.0
7514,"Fireplace,Gym,Pool",2.0,3.0,Yes,,Monthly,1063.0,,,,47.3765,-122.0994,1715.0
7515,Storage,,,Yes,,Monthly,850.0,,Arlington,MA,42.418,-71.1669,2300.0
7516,"Washer Dryer,Wood Floors",1.0,,,,Monthly,1380.0,,Boston,MA,42.328,-71.071,2150.0
7517,"Clubhouse,Fireplace,Gym,Patio/Deck,Pool,Refrigerator,Storage,View,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",Monthly,987.0,,Denver,CO,39.6484,-105.0826,1540.0
7518,"Clubhouse,Fireplace,Gym,Pool,TV,Tennis",,,Yes,,Monthly,960.0,,East Hartford,CT,41.7588,-72.6148,1125.0
7519,"Fireplace,Gym,Internet Access,Parking,Pool,Washer Dryer",,2.0,Thumbnail,"Cats,Dogs",Monthly,679.0,,College Park,MD,38.9986,-76.9273,1419.0
7520,"Parking,Wood Floors",1.0,1.0,Yes,,,600.0,,Quincy,MA,42.2517,-71.0162,1450.0
7521,,1.0,1.0,Yes,,Monthly,,,Cranbury,NJ,40.3112,-74.5252,1250.0
7522,"AC,Clubhouse,Gym,View",1.0,1.0,Yes,,Monthly,797.0,,,NJ,40.7925,-74.0215,2125.0
7523,"Clubhouse,Fireplace,Gym,Internet Access,Patio/Deck,Pool,Washer Dryer",,2.0,Thumbnail,,Monthly,1315.0,,Painesville,OH,41.75,-81.2833,1190.0
7524,"Elevator,Gated,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Storage,Washer Dryer",,1.0,Yes,,Monthly,796.0,,,FL,26.6748,-81.974,1205.0
7525,"Dishwasher,Gym,Internet Access,Parking,Playground,Pool,Refrigerator,Storage,Washer Dryer,Wood Floors",2.0,2.0,Yes,,Monthly,1173.0,,Lynchburg,,37.361,-79.2184,864.0
7526,"AC,Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Playground,Pool,Refrigerator,Washer Dryer",,2.0,Thumbnail,"Cats,Dogs",Monthly,823.0,,Henrico,VA,37.6249,-77.4948,1135.0
7527,,1.0,2.0,Yes,,Monthly,590.0,,Cincinnati,OH,39.1054,-84.5022,1295.0
7528,"Clubhouse,Gym,Parking,Pool",,1.0,,,Monthly,820.0,,Greensboro,NC,36.0175,-79.7704,850.0
7529,"AC,Elevator,Patio/Deck",1.0,2.0,Thumbnail,"Cats,Dogs",Monthly,850.0,,Reno,,39.4779,-119.8972,1119.0
7530,,1.0,2.0,,,Monthly,850.0,,Wellesley Hills,MA,42.3158,-71.2651,2400.0
7531,Pool,1.0,,Yes,"Cats,Dogs",Monthly,996.0,,Knightdale,NC,35.7863,-78.4845,1070.0
7532,,,2.0,Yes,,Monthly,1419.0,,Westwood,MA,42.2164,-71.2075,3530.0
7533,,1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,642.0,12403 Mellow Meadow Dr,,,30.3054,-97.7497,985.0
7534,"Gated,Gym,Parking,Pool,Storage",2.0,,Thumbnail,,,1224.0,,Covington,,30.4581,-90.1178,1260.0
7535,"Dishwasher,Fireplace,Parking,Refrigerator,Washer Dryer,Wood Floors",1.0,,,Cats,,,,Kent,WA,47.3866,-122.2109,1295.0
7536,,2.0,2.0,Thumbnail,"Cats,Dogs",Monthly,2086.0,1800 Fifth Ave,Pittsburgh,PA,40.4448,-79.9725,2400.0
7537,"AC,Cable or Satellite,Clubhouse,Fireplace,Gated,Gym,Internet Access,Parking,Patio/Deck,Playground,Pool,Storage,Washer Dryer",,,Thumbnail,"Cats,Dogs",Monthly,,,Atlanta,GA,33.8912,-84.2508,1041.0
7538,"AC,Clubhouse,Dishwasher,Fireplace,Gym,Playground,Pool,Tennis",2.0,,Yes,"Cats,Dogs",Monthly,1306.0,,,VA,37.1275,-76.5219,1610.0
7539,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Gym,Patio/Deck,Playground,Pool,Refrigerator,Storage,Washer Dryer",2.0,2.0,No,"Cats,Dogs",Monthly,1022.0,,Grapevine,TX,32.9314,-97.0956,1450.0
7540,Parking,1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,700.0,,Hopkinton,MA,42.2196,-71.5315,1718.0
7541,"Cable or Satellite,Dishwasher,Patio/Deck,Storage,Wood Floors",1.0,2.0,Thumbnail,,Monthly,1000.0,3003 W 35th Avenue,Anchorage,AK,61.1549,-149.828,1000.0
7542,"Fireplace,Parking,Pool",2.0,2.0,Thumbnail,"Cats,Dogs",Monthly,1189.0,,Glen Allen,,37.7172,-77.5767,1573.0
7543,,1.0,0.0,Thumbnail,,,,401 N Indiana,Bloomington,IN,39.1471,-86.5136,889.0
7544,Parking,2.0,2.0,Yes,,Monthly,1163.0,,Painesville,OH,41.75,-81.2833,1350.0
7545,"Clubhouse,Parking,Pool,Storage",,1.0,Yes,,Monthly,,,Dallas,TX,32.8239,-96.681,770.0
7546,Storage,2.0,2.0,Thumbnail,,Monthly,1104.0,,Hilliard,,40.0329,-83.1377,1165.0
7547,"Clubhouse,Elevator,Fireplace,Gated,Gym,Pool",,,,,Monthly,818.0,,,MD,39.1649,-76.7156,1638.0
7548,,,1.0,Thumbnail,,Monthly,756.0,,Fort Collins,CO,40.534,-105.0444,1350.0
7549,,1.0,,No,,Monthly,1069.0,,Bothell,,47.8441,-122.1991,2050.0
7550,"Clubhouse,Gym,Internet Access,Parking,Playground,Pool,Storage",1.0,1.0,,,Monthly,,,Colorado Springs,CO,38.8503,-104.7586,739.0
7551,"Cable or Satellite,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Playground,Pool,Refrigerator,Tennis",,1.0,Thumbnail,"Cats,Dogs",Monthly,,1340 42nd St,West Des Moines,IA,41.5835,-93.7597,730.0
7552,,1.0,1.0,,Cats,Monthly,700.0,421-31 W Barry,Chicago,IL,41.8625,-87.6825,1270.0
7553,"Parking,Storage",2.0,3.0,Thumbnail,,Monthly,1274.0,,Salt Lake City,UT,40.6593,-111.921,1395.0
7554,,1.0,3.0,Thumbnail,,Monthly,1406.0,11703 NE 18th St,Vancouver,WA,45.6558,-122.5888,1695.0
7555,"Gym,Pool,Tennis",2.0,2.0,Yes,,,1026.0,,Aurora,,41.3157,-81.3473,1150.0
7556,"AC,Patio/Deck",1.0,1.0,Yes,"Cats,Dogs",Monthly,776.0,,College Park,,38.9986,-76.9273,1235.0
7557,"Clubhouse,Gym,Pool,Washer Dryer",,2.0,Yes,,Monthly,1145.0,,Durham,NC,36.0514,-78.8807,1430.0
7558,"AC,Cable or Satellite,Clubhouse,Gated,Gym,Internet Access,Parking,Patio/Deck,Playground,Storage,Washer Dryer",2.0,2.0,No,"Cats,Dogs",Monthly,1397.0,,Ocoee,FL,28.5823,-81.5391,1370.0
7559,"Gym,Patio/Deck,Pool",1.0,1.0,,"Cats,Dogs",,636.0,,Cleveland,OH,41.4729,-81.7374,1493.0
7560,"AC,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Washer Dryer",2.0,2.0,Thumbnail,"Cats,Dogs",,1183.0,,Petersburg,VA,37.1386,-77.3919,1279.0
7561,"Clubhouse,Gym,Wood Floors",1.0,,Yes,,Monthly,968.0,,Bellevue,WA,47.6156,-122.2109,2700.0
7562,"Gym,Parking,Patio/Deck",2.0,3.0,Yes,,Monthly,1760.0,,Raleigh,NC,35.7887,-78.6531,2610.0
7563,,1.0,1.0,Thumbnail,"Cats,Dogs",Monthly,742.0,11262 Otsego St,North Hollywood,CA,34.1881,-118.3905,2295.0
7564,,3.0,4.0,No,,Monthly,2476.0,,,OK,35.3892,-97.7313,1595.0
7565,"Clubhouse,Dishwasher,Elevator,Garbage Disposal,Parking,Patio/Deck,Refrigerator,Storage",,1.0,Thumbnail,"Cats,Dogs",Monthly,,3985 Sarah St,Beaumont,,30.0718,-94.1543,600.0
7566,,1.0,1.0,Thumbnail,,Monthly,560.0,581 Livingston Avenue,,NY,42.6742,-73.7936,947.0
7567,Pool,,1.0,,"Cats,Dogs",,836.0,,Las Vegas,NV,36.1536,-115.1965,1199.0
7568,"AC,Fireplace,Gym,Parking,Patio/Deck,Pool",1.0,1.0,Yes,,Monthly,,,,TX,32.5548,-94.7807,715.0
7569,"Fireplace,Gym,Parking,Storage",1.0,1.0,Yes,,,707.0,,Denver,CO,39.7287,-104.9076,1321.0
7570,"Clubhouse,Pool",,,Yes,"Cats,Dogs",,1555.0,,Santa Monica,CA,34.0263,-118.4732,5035.0
7571,"AC,Dishwasher,Fireplace,Gated,Gym,Patio/Deck,Pool,Refrigerator,Tennis,Washer Dryer",,,Thumbnail,"Cats,Dogs",Monthly,1177.0,,,,33.9222,-84.0725,1296.0
7572,"Dishwasher,Garbage Disposal,Internet Access,Patio/Deck,Washer Dryer",,1.0,Thumbnail,,Monthly,600.0,,Renton,WA,47.4608,-122.2095,1335.0
7573,"Clubhouse,Pool",,2.0,,,Monthly,1123.0,,Bridgewater,MA,41.9784,-70.9751,2000.0
7574,,1.0,,Yes,,Monthly,1200.0,,Belmont,MA,42.3948,-71.1816,2395.0
